name,date_of_birth,death_date,identity_number,gender,nationality
Brandy Rios,1954-12-09,2024-05-12,319-30-4712,M,Cyprus
Michael Edwards,1967-06-17,2024-01-14,193-75-6298,F,Guinea-Bissau
Walter Andrews,1981-11-18,2023-09-18,044-76-5096,M,Slovakia (Slovak Republic)
Angela Brown,1974-05-01,,799-30-1129,M,Slovenia
Amy Osborne,1971-06-27,2023-08-05,503-04-9362,M,Trinidad and Tobago
John Clarke,2002-02-05,,519-11-8872,F,Sri Lanka
George Dunn,1963-08-05,2023-10-28,079-60-5437,F,Sri Lanka
Jesse Brown,1941-07-23,,129-39-1535,M,Costa Rica
Jennifer Newman,1989-05-03,2023-10-02,008-79-5862,M,Armenia
Jonathan King,1959-10-11,,526-82-5334,F,Rwanda
Anne Atkins,1938-01-11,,782-24-2388,M,Belize
Mark Williams,1976-11-04,,074-60-4077,F,Malawi
John Vasquez,1956-09-14,,344-94-9035,M,Guinea
David Howell,1982-10-04,,212-42-8186,F,Czech Republic
Danielle Dodson,1957-11-29,2024-04-22,009-04-2097,M,Burkina Faso
Alexandra Warren,1983-09-10,2023-09-12,492-43-5891,M,Taiwan
Eric Beck,1980-08-31,,623-41-0581,M,Senegal
Angela French,1961-08-21,2024-01-11,456-47-2433,M,Guam
Crystal Leach,1998-05-31,,413-37-4992,F,Jordan
Emily Berry,1993-10-16,,823-29-0336,F,Kuwait
